Birth Year,Year,Month,Number of Trips
1961,2014,06,10140
1981,2014,06,32299
1970,2014,06,20330
1985,2014,06,36246
1946,2014,06,1218
1977,2014,06,23146
1947,2014,06,1734
1988,2014,06,29822
1935,2014,06,63
1953,2014,06,5666
1954,2014,06,6272
1994,2014,06,2882
1899,2014,06,35
1901,2014,06,66
1957,2014,06,8142
1922,2014,06,19
1993,2014,06,5700
1951,2014,06,4068
1969,2014,06,18294
1944,2014,06,740
1997,2014,06,1400
1938,2014,06,177
1948,2014,06,2326
1996,2014,06,1569
1968,2014,06,15988
1952,2014,06,3933
1978,2014,06,25602
1932,2014,06,30
1900,2014,06,280
1910,2014,06,26
1973,2014,06,18058
1974,2014,06,20831
1992,2014,06,6527
1979,2014,06,26920
1924,2014,06,5
1989,2014,06,27959
1982,2014,06,32803
1958,2014,06,9151
1984,2014,06,37156
1975,2014,06,20098
1943,2014,06,513
1998,2014,06,298
1921,2014,06,22
1966,2014,06,14055
1991,2014,06,12943
1963,2014,06,14388
1971,2014,06,18006
1940,2014,06,282
1949,2014,06,2382
1959,2014,06,9957
1950,2014,06,3021
1917,2014,06,16
1937,2014,06,47
1934,2014,06,35
1986,2014,06,34065
1955,2014,06,6452
\N,2014,06,118232
1987,2014,06,32392
1962,2014,06,12935
1964,2014,06,14439
1926,2014,06,18
1945,2014,06,983
1995,2014,06,2134
1967,2014,06,15480
1971,2014,07,17813
1930,2014,07,2
1947,2014,07,1864
1948,2014,07,2390
1989,2014,07,29454
1991,2014,07,14791
1951,2014,07,4598
1981,2014,07,33408
1994,2014,07,3479
1969,2014,07,19311
1942,2014,07,718
1955,2014,07,6360
1975,2014,07,20775
1944,2014,07,754
1996,2014,07,1616
1982,2014,07,33977
1972,2014,07,18738
1987,2014,07,33518
1952,2014,07,3884
1937,2014,07,80
\N,2014,07,119125
1965,2014,07,14186
1931,2014,07,1
1945,2014,07,1081
1968,2014,07,16265
1963,2014,07,14895
1917,2014,07,8
1933,2014,07,28
1943,2014,07,387
1949,2014,07,2361
1973,2014,07,18669
1980,2014,07,30979
1940,2014,07,341
1976,2014,07,22896
1984,2014,07,37532
1950,2014,07,2918
1995,2014,07,2331
1901,2014,07,64
1974,2014,07,21036
1958,2014,07,9534
1962,2014,07,13511
1935,2014,07,45
1926,2014,07,37
1986,2014,07,35974
1910,2014,07,11
1899,2014,07,37
1967,2014,07,15824
1921,2014,07,8
1998,2014,07,391
1956,2014,07,7651
1993,2014,07,6595
1934,2014,07,26
1939,2014,07,99
1985,2014,07,37287
1970,2014,07,20776
1997,2014,07,1191
1992,2014,07,8368
1959,2014,07,10590
1960,2014,07,11959
1953,2014,07,5826
1978,2014,07,26662
1941,2014,07,650
1946,2014,07,1173
1957,2014,07,8135
1938,2014,07,114
1979,2014,07,27469
1964,2014,07,14836
1990,2014,07,25853
1961,2014,07,10646
1954,2014,07,6688
1936,2014,07,102
1932,2014,07,43
